Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC,Business Value ($),ROI (%)
xgboost,0.7601423487544484,0.5319926873857403,0.782258064516129,0.6332970620239391,0.8440847203572432,-21920.0,-26.71541742839732
random_forest,0.7750889679715303,0.558091286307054,0.7231182795698925,0.629976580796253,0.8413575138702392,-54210.0,-74.97925311203319
logistic_regression,0.7451957295373666,0.5127272727272727,0.7580645161290323,0.6117136659436009,0.8425857977078974,-40160.0,-48.67878787878788
lightgbm,0.7359430604982207,0.5008665511265165,0.7768817204301075,0.6090621707060063,0.8404922503617192,-30960.0,-35.77123050259966
